As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score,tconst,imdb_title,genres,averageRating,numVotes
2021-06-09,7,7,2,Dog Gone Trouble,Movie,Yes,"May 28, 2021",12,86,,,,,
2021-06-09,8,8,-,Xtreme,Movie,Yes,"Jun 4, 2021",4,12,tt11658120,Xtreme,"Action,Crime,Drama",5.8,5536
2021-06-09,9,9,-,Monsters vs. Aliens,Movie,,"Jun 1, 2021",5,8,tt0892782,Monsters vs. Aliens,"Action,Adventure,Animation",6.4,186144
2021-06-09,10,-,7,Army of the Dead,Movie,Yes,"May 21, 2021",18,113,tt0993840,Army of the Dead,"Action,Adventure,Crime",5.8,198526
2021-06-10,1,1,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",6,59,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-10,2,-,-,Awake,Movie,Yes,"Jun 9, 2021",1,9,tt0211933,Awake,"Crime,Drama,Mystery",6.5,84854
2021-06-10,3,2,1,Lucifer,TV Show,,"Dec 15, 2018",34,270,tt4052886,Lucifer,"Crime,Drama,Fantasy",8.0,384482
2021-06-10,4,5,5,Cocomelon,TV Show,,"Jun 1, 2020",230,783,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-10,5,4,3,Dirty John,TV Show,,"Nov 25, 2019",10,73,tt7945720,Dirty John,"Crime,Drama",7.3,25990
2021-06-10,6,3,6,2 Hearts,Movie,,"Jun 2, 2021",8,51,tt5616176,2 Hearts,"Drama,Romance",6.3,11373
2021-06-10,7,6,4,Home,Movie,,"May 25, 2021",16,112,tt2224026,Home,"Adventure,Animation,Comedy",6.5,119316
2021-06-10,8,7,2,Dog Gone Trouble,Movie,Yes,"May 28, 2021",13,89,,,,,
2021-06-10,9,9,-,Monsters vs. Aliens,Movie,,"Jun 1, 2021",6,10,tt0892782,Monsters vs. Aliens,"Action,Adventure,Animation",6.4,186144
2021-06-10,10,-,-,Bo Burnham: Inside,Stand-Up Comedy,Yes,"May 30, 2021",2,2,tt14544192,Bo Burnham: Inside,"Comedy,Documentary,Drama",8.6,58546
2021-06-11,1,1,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",7,69,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-11,2,2,-,Awake,Movie,Yes,"Jun 9, 2021",2,18,tt0211933,Awake,"Crime,Drama,Mystery",6.5,84854
2021-06-11,3,-,-,Manifest,TV Show,,"Jun 10, 2021",1,8,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-11,4,3,1,Lucifer,TV Show,,"Dec 15, 2018",35,277,tt4052886,Lucifer,"Crime,Drama,Fantasy",8.0,384482
2021-06-11,5,4,6,Cocomelon,TV Show,,"Jun 1, 2020",231,789,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-11,6,5,2,Dirty John,TV Show,,"Nov 25, 2019",11,78,tt7945720,Dirty John,"Crime,Drama",7.3,25990
2021-06-11,7,6,5,2 Hearts,Movie,,"Jun 2, 2021",9,55,tt5616176,2 Hearts,"Drama,Romance",6.3,11373
2021-06-11,8,7,4,Home,Movie,,"May 25, 2021",17,115,tt2224026,Home,"Adventure,Animation,Comedy",6.5,119316
2021-06-11,9,8,3,Dog Gone Trouble,Movie,Yes,"May 28, 2021",14,91,,,,,
2021-06-11,10,-,-,L.A.'s Finest,TV Show,,"Jan 5, 2021",14,68,tt7555294,L.A.'s Finest,"Action,Comedy,Crime",6.2,8819
2021-06-12,1,1,2,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",8,79,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-12,2,3,-,Manifest,TV Show,,"Jun 10, 2021",2,17,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-12,3,2,-,Awake,Movie,Yes,"Jun 9, 2021",3,26,tt0211933,Awake,"Crime,Drama,Mystery",6.5,84854
2021-06-12,4,-,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",1,7,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-12,5,-,-,Lupin,TV Show,Yes,"Jan 8, 2021",15,93,tt2531336,Lupin,"Action,Crime,Drama",7.5,154038
2021-06-12,6,5,6,Cocomelon,TV Show,,"Jun 1, 2020",232,794,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-12,7,4,1,Lucifer,TV Show,,"Dec 15, 2018",36,281,tt4052886,Lucifer,"Crime,Drama,Fantasy",8.0,384482
2021-06-12,8,8,5,Home,Movie,,"May 25, 2021",18,118,tt2224026,Home,"Adventure,Animation,Comedy",6.5,119316
2021-06-12,9,10,-,L.A.'s Finest,TV Show,,"Jan 5, 2021",15,70,tt7555294,L.A.'s Finest,"Action,Comedy,Crime",6.2,8819
2021-06-12,10,7,7,2 Hearts,Movie,,"Jun 2, 2021",10,56,tt5616176,2 Hearts,"Drama,Romance",6.3,11373
2021-06-13,1,2,-,Manifest,TV Show,,"Jun 10, 2021",3,27,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-13,2,1,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",9,88,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-13,3,4,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",2,15,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-13,4,3,-,Awake,Movie,Yes,"Jun 9, 2021",4,33,tt0211933,Awake,"Crime,Drama,Mystery",6.5,84854
2021-06-13,5,5,-,Lupin,TV Show,Yes,"Jan 8, 2021",16,99,tt2531336,Lupin,"Action,Crime,Drama",7.5,154038
2021-06-13,6,6,7,Cocomelon,TV Show,,"Jun 1, 2020",233,799,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-13,7,7,2,Lucifer,TV Show,,"Dec 15, 2018",37,285,tt4052886,Lucifer,"Crime,Drama,Fantasy",8.0,384482
2021-06-13,8,9,-,L.A.'s Finest,TV Show,,"Jan 5, 2021",16,73,tt7555294,L.A.'s Finest,"Action,Comedy,Crime",6.2,8819
2021-06-13,9,8,6,Home,Movie,,"May 25, 2021",19,120,tt2224026,Home,"Adventure,Animation,Comedy",6.5,119316
2021-06-13,10,10,4,2 Hearts,Movie,,"Jun 2, 2021",11,57,tt5616176,2 Hearts,"Drama,Romance",6.3,11373
2021-06-14,1,1,-,Manifest,TV Show,,"Jun 10, 2021",4,37,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-14,2,2,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",10,97,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-14,3,3,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",3,23,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-14,4,4,-,Awake,Movie,Yes,"Jun 9, 2021",5,40,tt0211933,Awake,"Crime,Drama,Mystery",6.5,84854
2021-06-14,5,5,-,Lupin,TV Show,Yes,"Jan 8, 2021",17,105,tt2531336,Lupin,"Action,Crime,Drama",7.5,154038
2021-06-14,6,6,5,Cocomelon,TV Show,,"Jun 1, 2020",234,804,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-14,7,7,2,Lucifer,TV Show,,"Dec 15, 2018",38,289,tt4052886,Lucifer,"Crime,Drama,Fantasy",8.0,384482
2021-06-14,8,8,-,L.A.'s Finest,TV Show,,"Jan 5, 2021",17,76,tt7555294,L.A.'s Finest,"Action,Comedy,Crime",6.2,8819
2021-06-14,9,-,-,A Haunted House 2,Movie,,"Jun 10, 2021",1,2,tt2828996,A Haunted House 2,"Comedy,Fantasy,Horror",4.7,25418
2021-06-14,10,9,6,Home,Movie,,"May 25, 2021",20,121,tt2224026,Home,"Adventure,Animation,Comedy",6.5,119316
2021-06-15,1,1,-,Manifest,TV Show,,"Jun 10, 2021",5,47,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-15,2,3,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",4,32,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-15,3,2,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",11,105,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-15,4,5,-,Lupin,TV Show,Yes,"Jan 8, 2021",18,112,tt2531336,Lupin,"Action,Crime,Drama",7.5,154038
2021-06-15,5,4,-,Awake,Movie,Yes,"Jun 9, 2021",6,46,tt0211933,Awake,"Crime,Drama,Mystery",6.5,84854
2021-06-15,6,6,5,Cocomelon,TV Show,,"Jun 1, 2020",235,809,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-15,7,7,2,Lucifer,TV Show,,"Dec 15, 2018",39,293,tt4052886,Lucifer,"Crime,Drama,Fantasy",8.0,384482
2021-06-15,8,8,-,L.A.'s Finest,TV Show,,"Jan 5, 2021",18,79,tt7555294,L.A.'s Finest,"Action,Comedy,Crime",6.2,8819
2021-06-15,9,9,-,A Haunted House 2,Movie,,"Jun 10, 2021",2,4,tt2828996,A Haunted House 2,"Comedy,Fantasy,Horror",4.7,25418
2021-06-15,10,-,-,The Devil Below,Movie,,"Jun 13, 2021",1,1,tt7646322,The Devil Below,"Horror,Mystery,Thriller",4.3,6376
2021-06-16,1,1,-,Manifest,TV Show,,"Jun 10, 2021",6,57,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-16,2,2,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",5,41,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-16,3,3,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",12,113,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-16,4,4,-,Lupin,TV Show,Yes,"Jan 8, 2021",19,119,tt2531336,Lupin,"Action,Crime,Drama",7.5,154038
2021-06-16,5,-,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",7,34,,,,,
2021-06-16,6,6,5,Cocomelon,TV Show,,"Jun 1, 2020",236,814,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-16,7,7,2,Lucifer,TV Show,,"Dec 15, 2018",40,297,tt4052886,Lucifer,"Crime,Drama,Fantasy",8.0,384482
2021-06-16,8,5,-,Awake,Movie,Yes,"Jun 9, 2021",7,49,tt0211933,Awake,"Crime,Drama,Mystery",6.5,84854
2021-06-16,9,8,-,L.A.'s Finest,TV Show,,"Jan 5, 2021",19,81,tt7555294,L.A.'s Finest,"Action,Comedy,Crime",6.2,8819
2021-06-16,10,10,-,The Devil Below,Movie,,"Jun 13, 2021",2,2,tt7646322,The Devil Below,"Horror,Mystery,Thriller",4.3,6376
2021-06-17,1,1,-,Manifest,TV Show,,"Jun 10, 2021",7,67,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-17,2,2,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",6,50,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-17,3,3,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",13,121,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-17,4,5,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",8,41,,,,,
2021-06-17,5,4,-,Lupin,TV Show,Yes,"Jan 8, 2021",20,125,tt2531336,Lupin,"Action,Crime,Drama",7.5,154038
2021-06-17,6,6,4,Cocomelon,TV Show,,"Jun 1, 2020",237,819,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-17,7,7,3,Lucifer,TV Show,,"Dec 15, 2018",41,301,tt4052886,Lucifer,"Crime,Drama,Fantasy",8.0,384482
2021-06-17,8,10,-,The Devil Below,Movie,,"Jun 13, 2021",3,5,tt7646322,The Devil Below,"Horror,Mystery,Thriller",4.3,6376
2021-06-17,9,9,-,L.A.'s Finest,TV Show,,"Jan 5, 2021",20,83,tt7555294,L.A.'s Finest,"Action,Comedy,Crime",6.2,8819
2021-06-17,10,8,2,Awake,Movie,Yes,"Jun 9, 2021",8,50,tt0211933,Awake,"Crime,Drama,Mystery",6.5,84854
2021-06-18,1,1,3,Manifest,TV Show,,"Jun 10, 2021",8,77,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-18,2,2,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",7,59,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-18,3,3,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",14,129,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-18,4,4,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",9,48,,,,,
2021-06-18,5,6,5,Cocomelon,TV Show,,"Jun 1, 2020",238,825,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-18,6,5,-,Lupin,TV Show,Yes,"Jan 8, 2021",21,130,tt2531336,Lupin,"Action,Crime,Drama",7.5,154038
2021-06-18,7,-,-,Black Summer,TV Show,Yes,"Apr 11, 2019",1,4,tt8923854,Black Summer,"Action,Drama,Horror",6.6,37477
2021-06-18,8,7,4,Lucifer,TV Show,,"Dec 15, 2018",42,304,tt4052886,Lucifer,"Crime,Drama,Fantasy",8.0,384482
2021-06-18,9,-,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",9,39,tt9251798,Ragnarok,"Action,Drama,Fantasy",7.3,53156
2021-06-18,10,9,10,L.A.'s Finest,TV Show,,"Jan 5, 2021",21,84,tt7555294,L.A.'s Finest,"Action,Comedy,Crime",6.2,8819
2021-06-19,1,-,-,Fatherhood,Movie,Yes,"Jun 18, 2021",1,10,tt4733624,Fatherhood,"Comedy,Drama",6.6,45852
2021-06-19,2,1,2,Manifest,TV Show,,"Jun 10, 2021",9,86,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-19,3,2,4,Wish Dragon,Movie,Yes,"Jun 11, 2021",8,67,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-19,4,3,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",15,136,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-19,5,5,6,Cocomelon,TV Show,,"Jun 1, 2020",239,831,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-19,6,4,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",10,53,,,,,
2021-06-19,7,7,-,Black Summer,TV Show,Yes,"Apr 11, 2019",2,8,tt8923854,Black Summer,"Action,Drama,Horror",6.6,37477
2021-06-19,8,-,-,Ãlite,TV Show,Yes,"Oct 5, 2018",1,3,,,,,
2021-06-19,9,9,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",10,41,tt9251798,Ragnarok,"Action,Drama,Fantasy",7.3,53156
2021-06-19,10,6,5,Lupin,TV Show,Yes,"Jan 8, 2021",22,131,tt2531336,Lupin,"Action,Crime,Drama",7.5,154038
2021-06-20,1,1,-,Fatherhood,Movie,Yes,"Jun 18, 2021",2,20,tt4733624,Fatherhood,"Comedy,Drama",6.6,45852
2021-06-20,2,2,1,Manifest,TV Show,,"Jun 10, 2021",10,95,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-20,3,3,3,Wish Dragon,Movie,Yes,"Jun 11, 2021",9,75,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-20,4,4,2,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",16,143,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-20,5,7,-,Black Summer,TV Show,Yes,"Apr 11, 2019",3,14,tt8923854,Black Summer,"Action,Drama,Horror",6.6,37477
2021-06-20,6,8,-,Ãlite,TV Show,Yes,"Oct 5, 2018",2,8,,,,,
2021-06-20,7,5,6,Cocomelon,TV Show,,"Jun 1, 2020",240,835,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-20,8,6,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",11,56,,,,,
2021-06-20,9,9,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",11,43,tt9251798,Ragnarok,"Action,Drama,Fantasy",7.3,53156
2021-06-20,10,10,5,Lupin,TV Show,Yes,"Jan 8, 2021",23,132,tt2531336,Lupin,"Action,Crime,Drama",7.5,154038
2021-06-21,1,1,-,Fatherhood,Movie,Yes,"Jun 18, 2021",3,30,tt4733624,Fatherhood,"Comedy,Drama",6.6,45852
2021-06-21,2,2,1,Manifest,TV Show,,"Jun 10, 2021",11,104,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-21,3,3,3,Wish Dragon,Movie,Yes,"Jun 11, 2021",10,83,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-21,4,4,2,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",17,150,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-21,5,5,-,Black Summer,TV Show,Yes,"Apr 11, 2019",4,20,tt8923854,Black Summer,"Action,Drama,Horror",6.6,37477
2021-06-21,6,6,-,Ãlite,TV Show,Yes,"Oct 5, 2018",3,13,,,,,
2021-06-21,7,7,6,Cocomelon,TV Show,,"Jun 1, 2020",241,839,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-21,8,-,-,The Worldâs Most Amazing Va…,TV Show,Yes,"Jun 18, 2021",1,3,,,,,
2021-06-21,9,8,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",12,58,,,,,
2021-06-21,10,9,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",12,44,tt9251798,Ragnarok,"Action,Drama,Fantasy",7.3,53156
2021-06-22,1,1,-,Fatherhood,Movie,Yes,"Jun 18, 2021",4,40,tt4733624,Fatherhood,"Comedy,Drama",6.6,45852
2021-06-22,2,2,1,Manifest,TV Show,,"Jun 10, 2021",12,113,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-22,3,3,2,Wish Dragon,Movie,Yes,"Jun 11, 2021",11,91,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-22,4,4,3,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",18,157,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-22,5,6,-,Ãlite,TV Show,Yes,"Oct 5, 2018",4,19,,,,,
2021-06-22,6,7,6,Cocomelon,TV Show,,"Jun 1, 2020",242,844,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-22,7,5,-,Black Summer,TV Show,Yes,"Apr 11, 2019",5,24,tt8923854,Black Summer,"Action,Drama,Horror",6.6,37477
2021-06-22,8,9,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",13,61,,,,,
2021-06-22,9,8,-,The Worldâs Most Amazing Va…,TV Show,Yes,"Jun 18, 2021",2,5,,,,,
2021-06-22,10,10,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",13,45,tt9251798,Ragnarok,"Action,Drama,Fantasy",7.3,53156
2021-06-23,1,1,-,Fatherhood,Movie,Yes,"Jun 18, 2021",5,50,tt4733624,Fatherhood,"Comedy,Drama",6.6,45852
2021-06-23,2,2,1,Manifest,TV Show,,"Jun 10, 2021",13,122,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-23,3,3,2,Wish Dragon,Movie,Yes,"Jun 11, 2021",12,99,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-23,4,6,6,Cocomelon,TV Show,,"Jun 1, 2020",243,851,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-23,5,4,3,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",19,163,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-23,6,5,-,Ãlite,TV Show,Yes,"Oct 5, 2018",5,24,,,,,
2021-06-23,7,9,-,The Worldâs Most Amazing Va…,TV Show,Yes,"Jun 18, 2021",3,9,,,,,
2021-06-23,8,7,-,Black Summer,TV Show,Yes,"Apr 11, 2019",6,27,tt8923854,Black Summer,"Action,Drama,Horror",6.6,37477
2021-06-23,9,8,5,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",14,63,,,,,
2021-06-23,10,-,7,Lucifer,TV Show,,"Dec 15, 2018",43,305,tt4052886,Lucifer,"Crime,Drama,Fantasy",8.0,384482
2021-06-24,1,2,1,Manifest,TV Show,,"Jun 10, 2021",14,132,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-24,2,1,-,Fatherhood,Movie,Yes,"Jun 18, 2021",6,59,tt4733624,Fatherhood,"Comedy,Drama",6.6,45852
2021-06-24,3,-,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",16,96,tt12004280,Too Hot to Handle,"Documentary,Game-Show,Reality-TV",4.8,16015
2021-06-24,4,4,6,Cocomelon,TV Show,,"Jun 1, 2020",244,858,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-24,5,3,2,Wish Dragon,Movie,Yes,"Jun 11, 2021",13,105,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-24,6,-,-,Good on Paper,Movie,Yes,"Jun 23, 2021",1,5,tt8231668,Good on Paper,"Comedy,Romance",5.6,14959
2021-06-24,7,5,3,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",20,167,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-24,8,6,-,Ãlite,TV Show,Yes,"Oct 5, 2018",6,27,,,,,
2021-06-24,9,7,-,The Worldâs Most Amazing Va…,TV Show,Yes,"Jun 18, 2021",4,11,,,,,
2021-06-24,10,8,-,Black Summer,TV Show,Yes,"Apr 11, 2019",7,28,tt8923854,Black Summer,"Action,Drama,Horror",6.6,37477
2021-06-25,1,1,1,Manifest,TV Show,,"Jun 10, 2021",15,142,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-25,2,2,-,Fatherhood,Movie,Yes,"Jun 18, 2021",7,68,tt4733624,Fatherhood,"Comedy,Drama",6.6,45852
2021-06-25,3,3,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",17,104,tt12004280,Too Hot to Handle,"Documentary,Game-Show,Reality-TV",4.8,16015
2021-06-25,4,6,-,Good on Paper,Movie,Yes,"Jun 23, 2021",2,12,tt8231668,Good on Paper,"Comedy,Romance",5.6,14959
2021-06-25,5,4,5,Cocomelon,TV Show,,"Jun 1, 2020",245,864,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-25,6,5,2,Wish Dragon,Movie,Yes,"Jun 11, 2021",14,110,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-25,7,7,3,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",21,171,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-25,8,9,-,The Worldâs Most Amazing Va…,TV Show,Yes,"Jun 18, 2021",5,14,,,,,
2021-06-25,9,10,7,Black Summer,TV Show,Yes,"Apr 11, 2019",8,30,tt8923854,Black Summer,"Action,Drama,Horror",6.6,37477
2021-06-25,10,8,-,Ãlite,TV Show,Yes,"Oct 5, 2018",7,28,,,,,
2021-06-26,1,-,-,The Ice Road,Movie,Yes,"Jun 25, 2021",1,10,tt3758814,The Ice Road,"Action,Adventure,Thriller",5.7,55568
2021-06-26,2,1,2,Manifest,TV Show,,"Jun 10, 2021",16,151,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-26,3,2,1,Fatherhood,Movie,Yes,"Jun 18, 2021",8,76,tt4733624,Fatherhood,"Comedy,Drama",6.6,45852
2021-06-26,4,3,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",18,111,tt12004280,Too Hot to Handle,"Documentary,Game-Show,Reality-TV",4.8,16015
2021-06-26,5,4,-,Good on Paper,Movie,Yes,"Jun 23, 2021",3,18,tt8231668,Good on Paper,"Comedy,Romance",5.6,14959
2021-06-26,6,-,-,Sex/Life,TV Show,Yes,"Jun 25, 2021",1,5,tt10839422,Sex/Life,"Comedy,Drama,Romance",5.6,33762
2021-06-26,7,5,5,Cocomelon,TV Show,,"Jun 1, 2020",246,868,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-26,8,6,3,Wish Dragon,Movie,Yes,"Jun 11, 2021",15,113,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-26,9,7,4,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",22,173,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-26,10,8,-,The Worldâs Most Amazing Va…,TV Show,Yes,"Jun 18, 2021",6,15,,,,,
2021-06-27,1,1,-,The Ice Road,Movie,Yes,"Jun 25, 2021",2,20,tt3758814,The Ice Road,"Action,Adventure,Thriller",5.7,55568
2021-06-27,2,2,2,Manifest,TV Show,,"Jun 10, 2021",17,160,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-27,3,3,1,Fatherhood,Movie,Yes,"Jun 18, 2021",9,84,tt4733624,Fatherhood,"Comedy,Drama",6.6,45852
2021-06-27,4,6,-,Sex/Life,TV Show,Yes,"Jun 25, 2021",2,12,tt10839422,Sex/Life,"Comedy,Drama,Romance",5.6,33762
2021-06-27,5,5,-,Good on Paper,Movie,Yes,"Jun 23, 2021",4,24,tt8231668,Good on Paper,"Comedy,Romance",5.6,14959
2021-06-27,6,4,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",19,116,tt12004280,Too Hot to Handle,"Documentary,Game-Show,Reality-TV",4.8,16015
2021-06-27,7,7,7,Cocomelon,TV Show,,"Jun 1, 2020",247,872,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2021-06-27,8,8,3,Wish Dragon,Movie,Yes,"Jun 11, 2021",16,116,tt5562070,Wish Dragon,"Adventure,Animation,Comedy",7.2,37886
2021-06-27,9,10,-,The Worldâs Most Amazing Va…,TV Show,Yes,"Jun 18, 2021",7,17,,,,,
2021-06-27,10,9,4,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",23,174,tt12809988,Sweet Tooth,"Action,Adventure,Drama",7.7,77603
2021-06-28,1,1,-,The Ice Road,Movie,Yes,"Jun 25, 2021",3,30,tt3758814,The Ice Road,"Action,Adventure,Thriller",5.7,55568
2021-06-28,2,2,2,Manifest,TV Show,,"Jun 10, 2021",18,169,tt8421350,Manifest,"Drama,Mystery,Sci-Fi",7.0,101578
2021-06-28,3,3,1,Fatherhood,Movie,Yes,"Jun 18, 2021",10,92,tt4733624,Fatherhood,"Comedy,Drama",6.6,45852
2021-06-28,4,4,-,Sex/Life,TV Show,Yes,"Jun 25, 2021",3,19,tt10839422,Sex/Life,"Comedy,Drama,Romance",5.6,33762
2021-06-28,5,5,-,Good on Paper,Movie,Yes,"Jun 23, 2021",5,30,tt8231668,Good on Paper,"Comedy,Romance",5.6,14959
2021-06-28,6,6,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",20,121,tt12004280,Too Hot to Handle,"Documentary,Game-Show,Reality-TV",4.8,16015
2021-06-28,7,7,7,Cocomelon,TV Show,,"Jun 1, 2020",248,876,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
